group,d_sample,theta_pool,phi_pool,ratio,fbar,c,d_pool,d_clonal,theta_s,phi_s
boot_81,0.13707707822210385,0.5709821895868914,1.1778040656784063,2.0627684841282945,30000,0.42281024756078467,0.32418048143714207,1.775605205760714e-05,1.7756472437405753e-05,3.6627491733173305e-05
boot_82,0.11779776932888171,0.5402093766500629,1.1107499268684977,2.056147069783315,30000,0.3750941140886927,0.3140242504976275,1.4596255714722201e-05,1.459653978782526e-05,3.001263251371247e-05
boot_83,0.1258259573578153,0.588931233428301,1.2325071494408204,2.092786185351589,30000,0.38139167881225067,0.32988880537222787,1.4729927195255514e-05,1.4730216495277575e-05,3.082719358855501e-05
boot_85,0.11296073347037092,0.529774176336604,1.0101229055254728,1.906704687854903,30000,0.3638078933919552,0.3104693309172913,1.4995826641451653e-05,1.4996126480535648e-05,2.859318466010237e-05
boot_84,0.11563721491020888,0.4937916078452518,0.7934744015660155,1.6069013506091836,30000,0.38832459255985075,0.297753822704692,1.9753982462572402e-05,1.9754502769374088e-05,3.174353718072008e-05
boot_86,0.16714926404963493,0.5852291180217752,1.2274115758789528,2.097318021406589,30000,0.508442187628786,0.3287239864620548,2.4658842779589436e-05,2.465965355094932e-05,5.171913579404899e-05
boot_87,0.14105961129710193,0.5751585141154024,1.1205119646441792,1.9481793925410875,30000,0.4332987718531098,0.32552247975745624,1.9623404829584885e-05,1.962391828037523e-05,3.823091319473736e-05
boot_88,0.13466822662070954,0.5623181803449999,1.0709856408819074,1.9045901027507663,30000,0.41901099826974925,0.3213691935197283,1.8933285881866472e-05,1.8933763853018272e-05,3.606105924227882e-05
boot_90,0.11850686867257665,0.5300508980586877,0.9665561204055212,1.8235156735806592,30000,0.3815518656866906,0.31056434876684835,1.6916511236954587e-05,1.6916892803364193e-05,3.084821917521846e-05
boot_93,0.1207535249056196,0.5446401590125506,1.1700565365297344,2.1483111687009693,30000,0.3826889591246257,0.31551633588360906,1.4428284795947574e-05,1.4428562368490307e-05,3.0997041684526234e-05
